,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long,Location,DAY,Hour,OFFENSE_CATEGORY,District_Names
0,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D14,0,2022-02-02 00:00:00,2022,2,Wednesday,0,42.34308127134165,-71.14172267328729,"(42.34308127134165, -71.14172267328729)",02,00:00:00,WARRANT-INVESTIGATION,Brighton
1,LARCENY ALL OTHERS,D14,0,2022-02-14 12:30:00,2022,2,Monday,12,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",14,12:30:00,THEFT-DAMAGE,Brighton
2,INVESTIGATE PERSON,D14,0,2022-03-25 02:11:00,2022,3,Friday,2,42.33606570362599,-71.15062719843623,"(42.33606570362599, -71.15062719843623)",25,02:11:00,WARRANT-INVESTIGATION,Brighton
3,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D14,0,2022-03-24 23:18:00,2022,3,Thursday,23,42.352789963988975,-71.13017996057994,"(42.352789963988975, -71.13017996057994)",24,23:18:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
4,ASSAULT - SIMPLE,D14,0,2022-03-24 21:17:00,2022,3,Thursday,21,42.35620473429912,-71.154218538476,"(42.35620473429912, -71.154218538476)",24,21:17:00,ASSAULT,Brighton
5,M/V ACCIDENT - OTHER,D14,0,2022-03-24 20:46:00,2022,3,Thursday,20,42.344376259573714,-71.13864814531068,"(42.344376259573714, -71.13864814531068)",24,20:46:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
6,LARCENY THEFT FROM BUILDING,D14,0,2022-03-24 15:30:00,2022,3,Thursday,15,42.354615878284896,-71.14434075188456,"(42.354615878284896, -71.14434075188456)",24,15:30:00,SICK-INJURED,Brighton
7,THREATS TO DO BODILY HARM,D14,0,2022-03-24 19:20:00,2022,3,Thursday,19,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",24,19:20:00,THREAT,Brighton
8,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,D14,0,2022-03-23 00:00:00,2022,3,Wednesday,0,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",23,00:00:00,THEFT-DAMAGE,Brighton
9,LARCENY THEFT OF BICYCLE,D14,0,2022-03-24 09:30:00,2022,3,Thursday,9,42.36007006655095,-71.13620885914939,"(42.36007006655095, -71.13620885914939)",24,09:30:00,THEFT-DAMAGE,Brighton
10,LARCENY ALL OTHERS,D14,0,2022-03-19 00:00:00,2022,3,Saturday,0,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",19,00:00:00,THEFT-DAMAGE,Brighton
11,INVESTIGATE PERSON,D14,0,2022-03-24 16:11:00,2022,3,Thursday,16,42.35157076345826,-71.17034661035143,"(42.35157076345826, -71.17034661035143)",24,16:11:00,WARRANT-INVESTIGATION,Brighton
12,DEATH INVESTIGATION,D14,0,2022-03-24 11:27:00,2022,3,Thursday,11,42.34866016474611,-71.16801858381797,"(42.34866016474611, -71.16801858381797)",24,11:27:00,DEATH,Brighton
14,PROPERTY - STOLEN THEN RECOVERED,D14,0,2022-03-24 12:00:00,2022,3,Thursday,12,42.34682749921356,-71.14319086479756,"(42.34682749921356, -71.14319086479756)",24,12:00:00,THEFT-DAMAGE,Brighton
15,INVESTIGATE PERSON,D14,0,2022-03-13 00:00:00,2022,3,Sunday,0,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",13,00:00:00,WARRANT-INVESTIGATION,Brighton
16,ASSAULT - AGGRAVATED,D14,0,2022-03-24 09:23:00,2022,3,Thursday,9,42.34988574548005,-71.14522971041998,"(42.349885745480044, -71.14522971041998)",24,09:23:00,ASSAULT,Brighton
17,LARCENY ALL OTHERS,D14,0,2022-03-22 07:36:00,2022,3,Tuesday,7,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",22,07:36:00,THEFT-DAMAGE,Brighton
18,LICENSE PREMISE VIOLATION,D14,0,2022-03-23 23:10:00,2022,3,Wednesday,23,42.3530111865124,-71.13261450756816,"(42.353011186512404, -71.13261450756816)",23,23:10:00,LICENSED PREMISE VIOLATION,Brighton
19,M/V ACCIDENT - OTHER,D14,0,2022-03-23 20:39:00,2022,3,Wednesday,20,42.35343383718778,-71.13786355191223,"(42.35343383718778, -71.13786355191223)",23,20:39:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Brighton
20,VAL - OPERATING W/O AUTHORIZATION LAWFUL,D14,0,2022-01-13 20:00:00,2022,1,Thursday,20,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",13,20:00:00,UNLAWFUL OPERATION,Brighton
21,LARCENY SHOPLIFTING,D14,0,2022-03-22 21:00:00,2022,3,Tuesday,21,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)",22,21:00:00,SICK-INJURED,Brighton
22,INVESTIGATE PERSON,D14,0,2022-03-23 11:51:00,2022,3,Wednesday,11,42.35595391267805,-71.13852468258176,"(42.35595391267805, -71.13852468258176)",23,11:51:00,WARRANT-INVESTIGATION,Brighton
23,DEATH INVESTIGATION,D14,0,2022-03-23 08:00:00,2022,3,Wednesday,8,42.33815268405198,-71.14955832306062,"(42.33815268405198, -71.14955832306062)",23,08:00:00,DEATH,Brighton
24,INVESTIGATE PERSON,D14,0,2022-03-23 12:37:00,2022,3,Wednesday,12,42.35595391267805,-71.13852468258176,"(42.35595391267805, -71.13852468258176)",23,12:37:00,WARRANT-INVESTIGATION,Brighton
25,VERBAL DISPUTE,D14,0,2022-03-23 10:28:00,2022,3,Wednesday,10,42.349110897135546,-71.15527343698429,"(42.349110897135546, -71.15527343698429)",23,10:28:00,HARASSMENT-VERBAL,Brighton
26,SUDDEN DEATH,D14,0,2022-03-23 05:52:00,2022,3,Wednesday,5,42.34252336337927,-71.15124869341581,"(42.34252336337927, -71.15124869341581)",23,05:52:00,DEATH,Brighton
27,ASSAULT - SIMPLE,D14,0,2022-03-23 02:36:00,2022,3,Wednesday,2,42.35343383718778,-71.13786355191223,"(42.35343383718778, -71.13786355191223)",23,02:36:00,ASSAULT,Brighton
28,INVESTIGATE PERSON,D14,0,2022-03-22 22:22:00,2022,3,Tuesday,22,42.350877947212,-71.16036469455184,"(42.350877947212, -71.16036469455184)",22,22:22:00,WARRANT-INVESTIGATION,Brighton
29,INVESTIGATE PERSON,D14,0,2022-03-22 21:56:00,2022,3,Tuesday,21,42.34779531138084,-71.1390396067872,"(42.347795311380835, -71.1390396067872)",22,21:56:00,WARRANT-INVESTIGATION,Brighton
30,LARCENY THEFT FROM BUILDING,D14,0,2022-03-22 18:58:00,2022,3,Tuesday,18,42.34748342366138,-71.13363158262618,"(42.34748342366138, -71.13363158262618)",22,18:58:00,SICK-INJURED,Brighton
31,LARCENY THEFT FROM BUILDING,D14,0,2022-03-22 17:49:00,2022,3,Tuesday,17,42.35358821670218,-71.12689571386555,"(42.35358821670218, -71.12689571386555)",22,17:49:00,SICK-INJURED,Brighton
33,SICK/INJURED/MEDICAL - PERSON,D14,0,2022-03-22 16:46:00,2022,3,Tuesday,16,42.3383627210647,-71.15441001220513,"(42.3383627210647, -71.15441001220513)",22,16:46:00,SICK-INJURED,Brighton
